@relation elec

@attribute nsdemand real
@attribute vicprice real
@attribute vicdemand real
@attribute transfer real
@attribute class {0,1}

@data
5901.0,1618.0,4687.0,456.0,1
5661.0,1476.0,4561.0,654.0,1
5467.0,1396.0,4426.0,800.0,1
5326.0,1220.0,4298.0,800.0,1
5211.0,1370.0,4185.0,800.0,1
5221.0,1450.0,4077.0,698.0,1
5255.0,1496.0,4017.0,670.0,1
5500.0,1400.0,4052.0,590.0,1
5830.0,1441.0,4173.0,417.0,1
6543.0,1519.0,4444.0,184.0,1
7290.0,1614.0,4769.0,-111.0,1
7423.0,1655.0,4955.0,-251.0,1
7859.0,1835.0,5308.0,-179.0,1
7988.0,2596.0,5460.0,42.0,0
8020.0,2641.0,5536.0,-120.0,0
8280.0,2646.0,5568.0,-21.0,0
8302.0,2662.0,5560.0,-64.0,0
8121.0,2716.0,5524.0,-113.0,0
8040.0,2666.0,5502.0,-87.0,0
8047.0,2911.0,5485.0,-25.0,0
7949.0,2855.0,5502.0,-47.0,0
7930.0,2600.0,5464.0,-161.0,0
7852.0,2407.0,5449.0,-254.0,0
7781.0,2457.0,5541.0,-317.0,0
7766.0,2674.0,5564.0,-308.0,0
7716.0,2557.0,5516.0,-291.0,0
7655.0,2381.0,5511.0,-284.0,0
7612.0,2071.0,5453.0,-235.0,1
7699.0,2235.0,5435.0,-147.0,0
7876.0,3155.0,5399.0,-346.0,0
8128.0,3100.0,5458.0,-281.0,0
8592.0,4331.0,5638.0,-106.0,0
9093.0,6186.0,5912.0,-151.0,0
9090.0,6817.0,5881.0,-47.0,0
8894.0,5043.0,5705.0,-77.0,0
8612.0,4716.0,5505.0,4.0,0
8378.0,4488.0,5370.0,6.0,0
8151.0,3853.0,5274.0,-75.0,0
8025.0,3495.0,5172.0,-12.0,0
7767.0,3422.0,5048.0,93.0,0
7475.0,2928.0,4886.0,222.0,0
7725.0,2773.0,4809.0,386.0,0
7740.0,2458.0,4758.0,249.0,1
7778.0,2829.0,5108.0,29.0,0
7683.0,2702.0,5102.0,70.0,0
7606.0,2878.0,4980.0,244.0,0
7464.0,2276.0,4862.0,236.0,1
7284.0,2447.0,5036.0,96.0,1
6946.0,2038.0,4948.0,185.0,1
6525.0,1591.0,4800.0,355.0,1
6220.0,1470.0,4615.0,569.0,1
5920.0,1434.0,4467.0,622.0,1
5694.0,1391.0,4326.0,688.0,1
5594.0,1425.0,4274.0,797.0,1
5583.0,1333.0,4211.0,800.0,1
5763.0,1301.0,4214.0,786.0,1
6091.0,1406.0,4316.0,695.0,1
6788.0,1495.0,4571.0,456.0,1
7487.0,1626.0,4870.0,236.0,1
7581.0,1603.0,5080.0,66.0,1
8028.0,2288.0,5351.0,-155.0,1
8065.0,3088.0,5486.0,-154.0,0
8028.0,1930.0,5503.0,-254.0,1
8219.0,2338.0,5542.0,-209.0,1
8271.0,3253.0,5566.0,-73.0,0
8176.0,2289.0,5543.0,-141.0,1
8014.0,2607.0,5520.0,-87.0,1
7914.0,1878.0,5513.0,-43.0,1
7829.0,1991.0,5465.0,-26.0,1
7793.0,1960.0,5391.0,-75.0,1
7686.0,1861.0,5407.0,-187.0,1
7596.0,1880.0,5478.0,-257.0,1
7574.0,1914.0,5517.0,-247.0,1
7592.0,2007.0,5475.0,-208.0,1
7513.0,1881.0,5425.0,-182.0,1
7463.0,1857.0,5370.0,-144.0,1
7510.0,1921.0,5375.0,-113.0,1
7609.0,1882.0,5410.0,-154.0,1
7827.0,2063.0,5480.0,1.0,1
8362.0,3031.0,5681.0,242.0,0
8957.0,4167.0,5924.0,295.0,0
8999.0,4907.0,5887.0,417.0,0
8825.0,4177.0,5698.0,254.0,0
8569.0,4239.0,5532.0,207.0,0
8356.0,3576.0,5408.0,155.0,0
8242.0,3062.0,5291.0,284.0,0
8097.0,3503.0,5183.0,366.0,0
7823.0,2893.0,5059.0,397.0,0
7545.0,2481.0,4953.0,371.0,0
7815.0,2032.0,4850.0,456.0,1
7797.0,1690.0,4798.0,223.0,1
7803.0,2259.0,5143.0,56.0,1
7760.0,2193.0,5122.0,119.0,1
7636.0,2508.0,5016.0,227.0,0
7480.0,2426.0,4905.0,209.0,0
7305.0,2598.0,5079.0,65.0,0
6991.0,2639.0,5000.0,152.0,0
6585.0,1836.0,4828.0,343.0,1
6275.0,1488.0,4657.0,597.0,1
5946.0,1410.0,4487.0,775.0,1
5744.0,1331.0,4374.0,800.0,1
5625.0,1279.0,4262.0,800.0,1
5633.0,1351.0,4226.0,800.0,1
5804.0,1373.0,4238.0,800.0,1
6127.0,1361.0,4360.0,784.0,1
6867.0,1475.0,4643.0,531.0,1
7632.0,1731.0,4947.0,344.0,1
7751.0,1769.0,5106.0,192.0,1
8227.0,2610.0,5353.0,138.0,0
8250.0,2949.0,5495.0,39.0,0
8202.0,2365.0,5513.0,-127.0,1
8330.0,2636.0,5529.0,-45.0,0
8328.0,2658.0,5522.0,-32.0,0
8184.0,2454.0,5507.0,-9.0,0
8021.0,2443.0,5486.0,-64.0,0
7904.0,2040.0,5461.0,-152.0,1
7631.0,2048.0,5367.0,-66.0,1
7601.0,2023.0,5360.0,-10.0,1
7568.0,2047.0,5471.0,-102.0,1
7504.0,2773.0,5470.0,-50.0,0
7401.0,2169.0,5400.0,-81.0,1
7344.0,1769.0,5360.0,-112.0,1
7352.0,1724.0,5289.0,-40.0,1
7432.0,1784.0,5311.0,-72.0,1
7541.0,1772.0,5314.0,-83.0,1
7891.0,1939.0,5413.0,23.0,1
8387.0,2567.0,5609.0,-41.0,0
8918.0,3262.0,5900.0,157.0,0
8863.0,3131.0,5830.0,96.0,0
8718.0,3030.0,5656.0,86.0,0
8484.0,2387.0,5454.0,1.0,0
8263.0,2413.0,5374.0,-113.0,0
8121.0,2328.0,5255.0,50.0,0
7904.0,2683.0,5157.0,181.0,0
7579.0,1915.0,4985.0,186.0,1
7331.0,1776.0,4849.0,336.0,1
7576.0,1720.0,4747.0,446.0,1
7568.0,1589.0,4726.0,346.0,1
7582.0,1681.0,5056.0,113.0,1
7509.0,1602.0,5036.0,239.0,1
7417.0,1562.0,4931.0,304.0,1
7302.0,1520.0,4861.0,419.0,1
7115.0,1553.0,5012.0,322.0,1
6773.0,1513.0,4907.0,473.0,1
6347.0,1451.0,4731.0,584.0,1
6029.0,1386.0,4562.0,683.0,1
5766.0,1344.0,4399.0,699.0,1
5532.0,1111.0,4262.0,677.0,1
5431.0,1005.0,4178.0,757.0,1
5451.0,1014.0,4160.0,738.0,1
5641.0,1144.0,4208.0,617.0,1
5980.0,1289.0,4314.0,576.0,1
6659.0,1465.0,4609.0,440.0,1
7383.0,1569.0,4900.0,233.0,1
7459.0,1739.0,5104.0,40.0,1
7923.0,2051.0,5369.0,-37.0,0
7982.0,2297.0,5506.0,-167.0,0
7901.0,2282.0,5502.0,-182.0,0
8092.0,2116.0,5519.0,-334.0,0
8104.0,2115.0,5469.0,-192.0,0
7970.0,2116.0,5431.0,-99.0,0
7774.0,1821.0,5398.0,-126.0,1
7685.0,1837.0,5371.0,-163.0,1
7624.0,1713.0,5359.0,-190.0,1
7480.0,1733.0,5297.0,-184.0,1
7449.0,1774.0,5366.0,-287.0,1
7415.0,1818.0,5369.0,-266.0,1
7375.0,1775.0,5333.0,-196.0,1
7307.0,1707.0,5289.0,-133.0,1
7233.0,1687.0,5212.0,-116.0,1
7295.0,1713.0,5195.0,-83.0,1
7434.0,1723.0,5168.0,-124.0,1
7703.0,1812.0,5253.0,-37.0,1
8149.0,1977.0,5412.0,49.0,0
8607.0,2958.0,5766.0,0.0,0
8605.0,2948.0,5800.0,-70.0,0
8481.0,2319.0,5656.0,-105.0,0
8280.0,1866.0,5491.0,-265.0,0
8114.0,2570.0,5418.0,-224.0,0
7984.0,1830.0,5318.0,-313.0,1
7836.0,1918.0,5246.0,-298.0,0
7579.0,1805.0,5056.0,-226.0,1
7281.0,1739.0,4957.0,-150.0,1
7619.0,1839.0,4874.0,70.0,0
7699.0,1782.0,4839.0,-34.0,1
7698.0,2129.0,5173.0,-226.0,0
7609.0,1860.0,5119.0,-131.0,0
7472.0,2325.0,5025.0,19.0,0
7343.0,2243.0,4922.0,104.0,0
7128.0,2120.0,5103.0,-111.0,0
6772.0,1945.0,5002.0,53.0,0
6330.0,1526.0,4814.0,351.0,1
6053.0,1492.0,4663.0,502.0,1
5766.0,1337.0,4499.0,707.0,1
5556.0,1289.0,4379.0,649.0,1
5471.0,1297.0,4296.0,671.0,1
5479.0,1253.0,4238.0,709.0,1
5653.0,1298.0,4303.0,765.0,1
5975.0,1340.0,4406.0,688.0,1
6605.0,1420.0,4715.0,450.0,1
7361.0,1676.0,5025.0,202.0,1
7362.0,1581.0,5194.0,109.0,1
7940.0,1937.0,5443.0,92.0,0
8130.0,3662.0,5581.0,5.0,0
8075.0,3158.0,5576.0,86.0,0
8339.0,2583.0,5612.0,128.0,0
8424.0,2757.0,5567.0,248.0,0
8330.0,2571.0,5508.0,237.0,0
8253.0,2509.0,5457.0,253.0,0
8154.0,2227.0,5426.0,220.0,0
8087.0,1888.0,5394.0,311.0,1
8028.0,1713.0,5332.0,335.0,1
7949.0,1772.0,5318.0,336.0,1
7915.0,1775.0,5351.0,246.0,1
7860.0,1942.0,5342.0,133.0,1
7803.0,1829.0,5308.0,143.0,1
7749.0,1872.0,5271.0,215.0,1
7748.0,1877.0,5228.0,98.0,1
7915.0,2253.0,5175.0,206.0,0
8081.0,2698.0,5216.0,224.0,0
8348.0,2953.0,5300.0,202.0,0
8668.0,2547.0,5469.0,106.0,0
8913.0,3095.0,5699.0,21.0,0
8751.0,2339.0,5659.0,62.0,0
8551.0,2225.0,5513.0,74.0,0
8267.0,2208.0,5380.0,75.0,0
8111.0,2086.0,5284.0,-47.0,0
8022.0,2049.0,5155.0,-134.0,1
7845.0,2100.0,5089.0,-101.0,0
7614.0,1829.0,4923.0,20.0,1
7353.0,1711.0,4800.0,104.0,1
7679.0,1791.0,4749.0,225.0,1
7825.0,1789.0,4750.0,107.0,1
7899.0,2235.0,5142.0,-34.0,0
7787.0,2433.0,5093.0,30.0,0
7628.0,2324.0,4952.0,186.0,0
7429.0,1944.0,4804.0,96.0,1
7176.0,2083.0,4956.0,-34.0,0
6756.0,1784.0,4807.0,62.0,1
6308.0,1516.0,4628.0,265.0,1
6005.0,1399.0,4435.0,466.0,1
5695.0,1334.0,4303.0,655.0,1
5439.0,1288.0,4179.0,526.0,1
5323.0,1375.0,4061.0,752.0,1
5268.0,1322.0,4029.0,793.0,1
5271.0,1154.0,3984.0,800.0,1
5397.0,1264.0,4011.0,700.0,1
5573.0,1311.0,4095.0,691.0,1
5814.0,1318.0,4161.0,587.0,1
6072.0,1413.0,4182.0,581.0,1
6560.0,1464.0,4317.0,448.0,1
7020.0,1514.0,4501.0,314.0,1
7368.0,1681.0,4620.0,127.0,1
7683.0,1817.0,4708.0,74.0,1
7825.0,1883.0,4726.0,58.0,1
7735.0,1967.0,4710.0,62.0,0
7568.0,1999.0,4674.0,56.0,0
7431.0,1957.0,4662.0,108.0,0
7312.0,1800.0,4644.0,150.0,1
7184.0,1632.0,4459.0,199.0,1
7090.0,1774.0,4559.0,219.0,1
6964.0,1742.0,4563.0,189.0,1
6814.0,1514.0,4524.0,269.0,1
6740.0,1500.0,4479.0,341.0,1
6602.0,1480.0,4424.0,426.0,1
6587.0,1476.0,4348.0,495.0,1
6624.0,1474.0,4349.0,523.0,1
6687.0,1475.0,4359.0,447.0,1
6939.0,1497.0,4476.0,316.0,1
7407.0,1753.0,4767.0,-79.0,1
7943.0,2080.0,5090.0,-82.0,0
7930.0,2074.0,5146.0,-23.0,0
7688.0,2043.0,5009.0,-57.0,0
7417.0,1927.0,4874.0,-28.0,0
7174.0,1774.0,4750.0,93.0,0
6996.0,1653.0,4678.0,168.0,1
6872.0,1536.0,4584.0,129.0,1
6698.0,1503.0,4521.0,193.0,1
6578.0,1496.0,4472.0,279.0,1
6772.0,1506.0,4492.0,317.0,1
6834.0,1508.0,4521.0,219.0,1
6865.0,1751.0,4833.0,-19.0,0
6708.0,1718.0,4816.0,19.0,0
6582.0,1688.0,4740.0,86.0,0
6284.0,1511.0,4614.0,166.0,1
6084.0,1582.0,4765.0,-11.0,1
5815.0,1568.0,4640.0,138.0,1
5516.0,1450.0,4449.0,306.0,1
5325.0,1337.0,4264.0,450.0,1
5145.0,1314.0,4132.0,640.0,1
5004.0,1142.0,4007.0,566.0,1
4941.0,1290.0,3859.0,610.0,1
4879.0,1057.0,3776.0,620.0,1
4934.0,1078.0,3754.0,619.0,1
4950.0,1141.0,3714.0,766.0,1
5076.0,1281.0,3765.0,791.0,1
5228.0,1299.0,3775.0,800.0,1
5403.0,1141.0,3690.0,755.0,1
5786.0,1229.0,3764.0,788.0,1
6224.0,1364.0,3916.0,756.0,1
6575.0,1389.0,4030.0,734.0,1
7004.0,1454.0,4155.0,670.0,1
7139.0,1461.0,4200.0,604.0,1
7118.0,1467.0,4233.0,553.0,1
7056.0,1471.0,4264.0,505.0,1
6972.0,1461.0,4247.0,540.0,1
6909.0,1464.0,4241.0,516.0,1
6816.0,1474.0,4290.0,406.0,1
6706.0,1472.0,4319.0,476.0,1
6582.0,1473.0,4326.0,438.0,1
6462.0,1460.0,4273.0,487.0,1
6390.0,1457.0,4271.0,491.0,1
6384.0,1450.0,4242.0,530.0,1
6387.0,1450.0,4234.0,550.0,1
6458.0,1449.0,4239.0,572.0,1
6679.0,1459.0,4270.0,609.0,1
7105.0,1501.0,4347.0,507.0,0
7565.0,1768.0,4643.0,256.0,0
8018.0,2082.0,4940.0,-57.0,0
8052.0,2062.0,5042.0,-155.0,0
7889.0,2069.0,4960.0,29.0,0
7660.0,1965.0,4868.0,-9.0,0
7479.0,1875.0,4811.0,92.0,0
7350.0,1743.0,4733.0,169.0,0
7231.0,1678.0,4674.0,144.0,0
7026.0,1729.0,4600.0,184.0,0
6771.0,1642.0,4490.0,291.0,0
6938.0,1773.0,4524.0,336.0,0
6949.0,1735.0,4527.0,269.0,0
6977.0,2021.0,4812.0,43.0,0
6744.0,1882.0,4768.0,189.0,0
6583.0,1793.0,4669.0,199.0,0
6287.0,1535.0,4546.0,215.0,1
6154.0,1659.0,4737.0,11.0,0
5888.0,1490.0,4648.0,242.0,1
5689.0,1457.0,4505.0,362.0,1
5506.0,1386.0,4341.0,548.0,1
5337.0,1333.0,4233.0,652.0,1
5233.0,1249.0,4093.0,666.0,1
5236.0,1028.0,4038.0,626.0,1
5254.0,946.0,3979.0,602.0,1
5468.0,1112.0,4016.0,654.0,1
5801.0,1246.0,4146.0,598.0,1
6446.0,1418.0,4443.0,457.0,1
7144.0,1560.0,4756.0,331.0,0
7283.0,1152.0,4905.0,308.0,1
7793.0,1920.0,5185.0,271.0,0
7958.0,1617.0,5330.0,223.0,0
8015.0,2669.0,5340.0,83.0,0
8344.0,3274.0,5389.0,281.0,0
8465.0,1896.0,5370.0,245.0,0
8396.0,2507.0,5335.0,333.0,0
8325.0,2000.0,5302.0,323.0,0
8273.0,2086.0,5261.0,394.0,0
8239.0,2019.0,5247.0,354.0,0
8189.0,1797.0,5198.0,342.0,0
8144.0,1845.0,5189.0,361.0,0
8113.0,2136.0,5286.0,294.0,0
8092.0,2253.0,5278.0,328.0,0
8008.0,1882.0,5197.0,365.0,0
7901.0,1772.0,5215.0,243.0,0
7833.0,1721.0,5165.0,280.0,1
7866.0,1672.0,5141.0,377.0,1
8071.0,1806.0,5167.0,412.0,0
8351.0,1873.0,5277.0,452.0,0
8896.0,2387.0,5529.0,420.0,0
9306.0,4469.0,5817.0,514.0,0
9220.0,3447.0,5757.0,405.0,0
8974.0,3857.0,5581.0,287.0,0
8692.0,2173.0,5420.0,149.0,0
8478.0,2411.0,5295.0,145.0,0
8319.0,2539.0,5171.0,284.0,0
8154.0,2463.0,5081.0,330.0,0
7876.0,1778.0,4925.0,332.0,1
7522.0,1642.0,4811.0,344.0,1
7810.0,1636.0,4774.0,397.0,1
7806.0,1544.0,4751.0,395.0,1
7751.0,1745.0,5066.0,108.0,1
7659.0,1691.0,5016.0,181.0,1
7538.0,2006.0,4906.0,299.0,0
7423.0,1659.0,4781.0,347.0,1
7234.0,1961.0,4987.0,126.0,1
6882.0,1599.0,4853.0,257.0,1
6487.0,1446.0,4675.0,440.0,1
6179.0,1384.0,4506.0,648.0,1
5852.0,1302.0,4362.0,749.0,1
5658.0,1286.0,4240.0,783.0,1
5569.0,1261.0,4168.0,749.0,1
5574.0,1070.0,4113.0,794.0,1
5753.0,1186.0,4150.0,781.0,1
6060.0,1296.0,4272.0,757.0,1
6743.0,1378.0,4554.0,725.0,1
7473.0,1492.0,4879.0,404.0,1
7554.0,1589.0,5097.0,207.0,1
8035.0,1559.0,5353.0,152.0,1
8117.0,1803.0,5514.0,16.0,1
8087.0,2216.0,5516.0,-32.0,0
8292.0,2736.0,5557.0,120.0,0
8323.0,1944.0,5519.0,1.0,1
8244.0,2377.0,5484.0,119.0,0
8101.0,2194.0,5469.0,-26.0,0
8001.0,2048.0,5453.0,-100.0,0
7910.0,1834.0,5438.0,-90.0,1
7819.0,1708.0,5384.0,-29.0,1
7746.0,1715.0,5382.0,-39.0,1
7720.0,1940.0,5450.0,-117.0,1
7720.0,2478.0,5483.0,-133.0,0
7701.0,1909.0,5433.0,-9.0,1
7625.0,1795.0,5394.0,-75.0,1
7619.0,1741.0,5331.0,-25.0,1
7681.0,1697.0,5213.0,43.0,1
7861.0,2230.0,5370.0,173.0,0
8172.0,2310.0,5461.0,259.0,0
8708.0,2710.0,5703.0,97.0,0
9102.0,3086.0,5946.0,76.0,0
9016.0,3054.0,5901.0,64.0,0
8808.0,2448.0,5704.0,94.0,0
8541.0,1911.0,5541.0,-62.0,1
8321.0,1963.0,5443.0,-3.0,0
8162.0,1753.0,5318.0,10.0,1
8033.0,2278.0,5225.0,102.0,0
7742.0,1713.0,5061.0,167.0,1
7452.0,1740.0,4939.0,263.0,1
7742.0,1742.0,4884.0,377.0,1
7746.0,1563.0,4827.0,343.0,1
7774.0,1750.0,5139.0,49.0,1
7740.0,1823.0,5093.0,156.0,1
7626.0,2233.0,4985.0,398.0,0
7472.0,1885.0,4924.0,288.0,0
7293.0,2019.0,5123.0,88.0,0
6895.0,1600.0,4998.0,208.0,1
6524.0,1447.0,4812.0,414.0,1
6194.0,1359.0,4634.0,595.0,1
5899.0,1316.0,4481.0,711.0,1
5689.0,1272.0,4350.0,712.0,1
5539.0,1143.0,4216.0,723.0,1
5525.0,1064.0,4183.0,696.0,1
5125.0,1154.0,4210.0,656.0,1
6034.0,1282.0,4340.0,680.0,1
6672.0,1365.0,4635.0,478.0,1
7416.0,1464.0,4967.0,366.0,1
7596.0,1553.0,5175.0,213.0,1
8105.0,1598.0,5435.0,70.0,1
8102.0,1725.0,5546.0,33.0,1
8093.0,2019.0,5584.0,-79.0,0
8316.0,3053.0,5643.0,87.0,0
8354.0,2691.0,5621.0,208.0,0
8231.0,2088.0,5601.0,-13.0,0
8061.0,1770.0,5576.0,-69.0,1
7928.0,1791.0,5547.0,-99.0,1
7867.0,1667.0,5512.0,27.0,1
7792.0,1583.0,5459.0,85.0,1
7709.0,1570.0,5443.0,30.0,1
7703.0,1606.0,5527.0,-58.0,1
7657.0,2329.0,5546.0,-72.0,0
7525.0,2076.0,5543.0,-52.0,0
7558.0,1681.0,5510.0,-41.0,1
7505.0,1666.0,5462.0,3.0,1
7600.0,1675.0,5485.0,-12.0,1
7797.0,2171.0,5521.0,115.0,0
8089.0,3036.0,5627.0,121.0,0
8558.0,2411.0,5804.0,223.0,0
8928.0,2696.0,5976.0,129.0,0
8824.0,2325.0,5892.0,127.0,0
8604.0,2127.0,5686.0,105.0,0
8332.0,1632.0,5488.0,124.0,1
8107.0,1724.0,5372.0,182.0,1
7947.0,1633.0,5266.0,197.0,1
7758.0,1840.0,5154.0,242.0,0
7464.0,1616.0,5071.0,340.0,1
7248.0,1573.0,4961.0,406.0,1
7540.0,1546.0,4900.0,433.0,1
7599.0,1501.0,4881.0,295.0,1
7630.0,1640.0,5145.0,141.0,1
7537.0,1668.0,5141.0,174.0,1
7441.0,1765.0,4999.0,248.0,1
7289.0,1532.0,4865.0,313.0,1
7115.0,1608.0,5035.0,145.0,1
6748.0,1509.0,4919.0,148.0,1
6361.0,1466.0,4708.0,128.0,1
6069.0,1411.0,4525.0,335.0,1
5738.0,1339.0,4335.0,504.0,1
5543.0,1278.0,4253.0,633.0,1
5452.0,1148.0,4159.0,666.0,1
5440.0,1146.0,4130.0,634.0,1
5643.0,1231.0,4179.0,731.0,1
5955.0,1310.0,4298.0,686.0,1
6630.0,1354.0,4578.0,522.0,1
7346.0,1442.0,4890.0,297.0,1
7472.0,1649.0,5129.0,165.0,1
7877.0,1938.0,5437.0,286.0,0
7965.0,2250.0,5567.0,118.0,0
7912.0,2211.0,5581.0,-79.0,0
8097.0,2005.0,5603.0,12.0,0
8107.0,1658.0,5580.0,-148.0,1
7958.0,1961.0,5586.0,-142.0,0
7837.0,1921.0,5554.0,-150.0,1
7749.0,1816.0,5556.0,-214.0,0
7696.0,1847.0,5546.0,-127.0,0
7622.0,2073.0,5473.0,-79.0,0
7566.0,1936.0,5459.0,-121.0,1
7544.0,1895.0,5512.0,-56.0,1
7516.0,1846.0,5521.0,-56.0,1
7482.0,1893.0,5487.0,-56.0,1
7456.0,1770.0,5449.0,-62.0,1
7430.0,1614.0,5382.0,-115.0,1
7523.0,1614.0,5374.0,11.0,1
7702.0,1877.0,5394.0,153.0,0
7994.0,1835.0,5484.0,166.0,0
8433.0,2429.0,5694.0,86.0,0
8808.0,3352.0,5902.0,10.0,0
8752.0,2723.0,5851.0,0.0,0
8564.0,2356.0,5681.0,91.0,0
8335.0,2284.0,5503.0,101.0,0
8157.0,1976.0,5409.0,184.0,0
8033.0,1839.0,5328.0,160.0,0
7860.0,2142.0,5228.0,246.0,0
7534.0,1596.0,5054.0,162.0,1
7261.0,1447.0,4914.0,342.0,1
7527.0,1429.0,4877.0,392.0,1
7620.0,1448.0,4818.0,312.0,1
7698.0,1513.0,5130.0,158.0,1
7640.0,1869.0,5150.0,238.0,0
7539.0,1757.0,4999.0,407.0,0
7375.0,1447.0,4841.0,423.0,1
7147.0,1458.0,5032.0,197.0,1
6796.0,1407.0,4908.0,361.0,1
6386.0,1342.0,4729.0,473.0,1
6093.0,1284.0,4536.0,537.0,1
5784.0,1209.0,4368.0,539.0,1
5574.0,999.0,4218.0,573.0,1
5508.0,969.0,4155.0,649.0,1
5494.0,947.0,4128.0,713.0,1
5694.0,1116.0,4196.0,773.0,1
5979.0,1183.0,4282.0,786.0,1
6626.0,1338.0,4578.0,630.0,1
7343.0,1391.0,4885.0,486.0,1
7471.0,1410.0,5099.0,218.0,1
7970.0,1801.0,5393.0,244.0,0
8068.0,2243.0,5517.0,141.0,0
8051.0,1710.0,5534.0,-21.0,0
8258.0,3357.0,5587.0,201.0,0
8329.0,2403.0,5558.0,190.0,0
8224.0,1839.0,5507.0,147.0,0
8121.0,1733.0,5479.0,85.0,1
8025.0,1738.0,5471.0,66.0,1
8020.0,1578.0,5440.0,143.0,1
7926.0,1485.0,5409.0,100.0,1
7847.0,1497.0,5405.0,1.0,1
7788.0,1486.0,5427.0,68.0,1
7778.0,1471.0,5413.0,22.0,1
7701.0,1511.0,5340.0,90.0,1
7675.0,1567.0,5321.0,171.0,1
7628.0,1468.0,5219.0,117.0,1
7736.0,1482.0,5198.0,283.0,1
7887.0,1468.0,5199.0,267.0,1
8115.0,1633.0,5252.0,429.0,1
8548.0,1710.0,5448.0,277.0,0
8795.0,2501.0,5707.0,256.0,0
8680.0,1984.0,5683.0,107.0,0
8468.0,2123.0,5529.0,178.0,0
8208.0,1654.0,5396.0,154.0,0
7990.0,1692.0,5264.0,199.0,0
7778.0,1712.0,5158.0,168.0,0
7667.0,1670.0,5108.0,251.0,0
7440.0,1462.0,4954.0,238.0,1
7203.0,1436.0,4826.0,301.0,1
7571.0,1443.0,4802.0,394.0,1
7739.0,1458.0,4803.0,320.0,1
7732.0,1696.0,5168.0,107.0,0
7658.0,1834.0,5135.0,170.0,0
7519.0,1470.0,5013.0,224.0,1
7344.0,1441.0,4889.0,389.0,1
7101.0,1528.0,5050.0,160.0,1
6689.0,1426.0,4906.0,351.0,1
6268.0,1362.0,4719.0,489.0,1
5978.0,1316.0,4533.0,560.0,1
5647.0,1283.0,4342.0,560.0,1
5417.0,1146.0,4183.0,542.0,1
5257.0,1133.0,4091.0,565.0,1
5181.0,1015.0,4021.0,498.0,1
5247.0,1015.0,4006.0,588.0,1
5357.0,1007.0,4027.0,641.0,1
5593.0,1243.0,4119.0,692.0,1
5875.0,1278.0,4196.0,714.0,1
6138.0,1308.0,4202.0,715.0,1
6728.0,1352.0,4335.0,562.0,1
7197.0,1407.0,4504.0,432.0,1
7482.0,1501.0,4657.0,303.0,1
7733.0,1570.0,4750.0,197.0,1
7772.0,1579.0,4782.0,166.0,0
7635.0,1484.0,4785.0,203.0,1
7447.0,1477.0,4750.0,193.0,1
7286.0,1467.0,4707.0,217.0,1
7161.0,1454.0,4677.0,243.0,1
7087.0,1465.0,4624.0,235.0,1
7030.0,1459.0,4613.0,262.0,1
6929.0,1460.0,4626.0,268.0,1
6816.0,1452.0,4603.0,301.0,1
6650.0,1429.0,4544.0,342.0,1
6581.0,1415.0,4518.0,436.0,1
6591.0,1409.0,4455.0,476.0,1
6660.0,1410.0,4472.0,427.0,1
